[VAMS][2014-05-19 15:48:14,366] INFO | server to  the client is open ！ | [NioProcessor-5] com.huangxu.mina.Demo1Handler.sessionOpened(55)
[VAMS][2014-05-19 15:48:14,366] DEBUG | Processing a MESSAGE_RECEIVED for session 4 | [NioProcessor-5] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is GET / HTTP/1.1 | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is Host: localhost:3305 | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is Connection: keep-alive | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is User-Agent: Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36 LBBROWSER | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is Accept-Encoding: gzip,deflate,sdch | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is Accept-Language: zh-CN,zh;q=0.8 | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server accept data is  | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server send message is success | [NioProcessor-5] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,475] INFO | server connecting  the client | [NioProcessor-1] com.huangxu.mina.Demo1Handler.sessionCreated(44)
[VAMS][2014-05-19 15:48:14,475] INFO | server to  the client is open ！ | [NioProcessor-1] com.huangxu.mina.Demo1Handler.sessionOpened(55)
[VAMS][2014-05-19 15:48:16,505] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:24,238] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:24,489] INFO | server start nosometings | [NioProcessor-5] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:24,598] INFO | server start nosometings | [NioProcessor-1] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:24,629] INFO | server connect is closed | [NioProcessor-1] com.huangxu.mina.Demo1Handler.sessionClosed(38)
[VAMS][2014-05-19 15:48:26,642] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:34,327] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:34,576] INFO | server start nosometings | [NioProcessor-5] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:36,702] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:44,379] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:44,630] INFO | server start nosometings | [NioProcessor-5] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:46,783] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:54,504] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:54,755] INFO | server start nosometings | [NioProcessor-5] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:55,940] INFO | server connect is closed | [NioProcessor-5] com.huangxu.mina.Demo1Handler.sessionClosed(38)
[VAMS][2014-05-19 15:48:56,909] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:04,632] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:06,052] INFO | server connecting  the client | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionCreated(44)
[VAMS][2014-05-19 15:49:06,052] INFO | server to  the client is open ！ | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionOpened(55)
[VAMS][2014-05-19 15:49:06,052] DEBUG | Processing a MESSAGE_RECEIVED for session 6 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:49:06,052] INFO | server accept data is GET /favicon.ico HTTP/1.1 | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,052] INFO | server accept data is Host: 127.0.0.1:3305 | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,052] INFO | server accept data is Connection: keep-alive | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,052] INFO | server accept data is User-Agent: Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36 LBBROWSER | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,068] INFO | server accept data is Accept-Encoding: gzip,deflate,sdch | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,068] INFO | server accept data is Accept-Language: zh-CN,zh;q=0.8 | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:49:06,068] INFO | server accept data is  | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
